Input,Network Output
-5.0,-0.9410971597122026
-4.99,-0.9410891795261909
-4.98,-0.941081094462106
-4.97,-0.9410729031318125
-4.96,-0.9410646041285464
-4.95,-0.9410561960266576
-4.94,-0.9410476773813499
-4.93,-0.9410390467284172
-4.92,-0.941030302583975
-4.91,-0.9410214434441888
-4.9,-0.9410124677849984
-4.89,-0.9410033740618378
-4.88,-0.9409941607093517
-4.87,-0.9409848261411075
-4.86,-0.9409753687493025
-4.8500000000000005,-0.9409657869044685
-4.84,-0.9409560789551698
-4.83,-0.9409462432276989
-4.82,-0.9409362780257665
-4.8100000000000005,-0.9409261816301874
-4.8,-0.9409159522985614
-4.79,-0.9409055882649501
-4.78,-0.9408950877395483
-4.7700000000000005,-0.9408844489083514
-4.76,-0.9408736699328168
-4.75,-0.940862748949521
-4.74,-0.940851684069812
-4.73,-0.9408404733794548
-4.72,-0.9408291149382744
-4.71,-0.9408176067797905
-4.7,-0.9408059469108496
-4.69,-0.9407941333112491
-4.68,-0.9407821639333572
-4.67,-0.9407700367017273
-4.66,-0.9407577495127057
-4.65,-0.9407453002340338
-4.64,-0.9407326867044448
-4.63,-0.9407199067332537
-4.62,-0.940706958099941
-4.61,-0.9406938385537313
-4.6000000000000005,-0.9406805458131642
-4.59,-0.9406670775656588
-4.58,-0.940653431467073
-4.57,-0.9406396051412541
-4.5600000000000005,-0.9406255961795845
-4.55,-0.9406114021405189
-4.54,-0.9405970205491153
-4.53,-0.9405824488965591
-4.5200000000000005,-0.9405676846396783
-4.51,-0.9405527252004542
-4.5,-0.9405375679655209
-4.49,-0.9405222102856607
-4.48,-0.940506649475289
-4.47,-0.9404908828119324
-4.46,-0.9404749075356993
-4.45,-0.940458720848741
-4.44,-0.9404423199147056
-4.43,-0.9404257018581822
-4.42,-0.9404088637641378
-4.41,-0.9403918026773449
-4.4,-0.9403745156017992
-4.39,-0.9403569995001299
-4.38,-0.9403392512929996
-4.37,-0.9403212678584949
-4.36,-0.9403030460315079
-4.3500000000000005,-0.9402845826031074
-4.34,-0.9402658743199007
-4.33,-0.9402469178833844
-4.32,-0.9402277099492866
-4.3100000000000005,-0.9402082471268968
-4.3,-0.9401885259783858
-4.29,-0.9401685430181157
-4.28,-0.9401482947119376
-4.2700000000000005,-0.9401277774764787
-4.26,-0.9401069876784174
-4.25,-0.9400859216337483
-4.24,-0.9400645756070327
-4.23,-0.9400429458106403
-4.22,-0.9400210284039757
-4.21,-0.9399988194926941
-4.2,-0.939976315127904
-4.19,-0.9399535113053563
-4.18,-0.9399304039646212
-4.17,-0.9399069889882508
-4.16,-0.9398832622009283
-4.15,-0.9398592193686037
-4.14,-0.9398348561976146
-4.13,-0.9398101683337928
-4.12,-0.9397851513615568
-4.11,-0.9397598008029882
-4.1,-0.9397341121168933
-4.09,-0.93970808069785
-4.08,-0.9396817018752371
-4.07,-0.9396549709122493
-4.0600000000000005,-0.9396278830048942
-4.05,-0.9396004332809734
-4.04,-0.9395726167990465
-4.03,-0.9395444285473772
-4.0200000000000005,-0.9395158634428622
-4.01,-0.9394869163299419
-4.0,-0.939457581979492
-3.99,-0.9394278550876978
-3.98,-0.9393977302749074
-3.97,-0.9393672020844673
-3.96,-0.9393362649815371
-3.95,-0.9393049133518837
-3.94,-0.9392731415006558
-3.93,-0.9392409436511364
-3.92,-0.9392083139434746
-3.91,-0.9391752464333948
-3.9,-0.9391417350908841
-3.89,-0.9391077737988567
-3.88,-0.9390733563517953
-3.87,-0.9390384764543688
-3.86,-0.9390031277200251
-3.85,-0.9389673036695614
-3.84,-0.938930997729666
-3.83,-0.9388942032314388
-3.8200000000000003,-0.9388569134088813
-3.81,-0.9388191213973635
-3.8000000000000003,-0.9387808202320612
-3.79,-0.9387420028463679
-3.7800000000000002,-0.9387026620702755
-3.77,-0.9386627906287293
-3.7600000000000002,-0.9386223811399509
-3.75,-0.9385814261137335
-3.74,-0.9385399179497041
-3.73,-0.9384978489355567
-3.72,-0.9384552112452518
-3.71,-0.938411996937185
-3.7,-0.9383681979523212
-3.69,-0.9383238061122946
-3.68,-0.938278813117476
-3.67,-0.9382332105450029
-3.66,-0.9381869898467743
-3.65,-0.9381401423474083
-3.64,-0.9380926592421636
-3.63,-0.93804453159482
-3.62,-0.9379957503355231
-3.61,-0.9379463062585854
-3.6,-0.93789619002025
-3.59,-0.9378453921364103
-3.58,-0.9377939029802881
-3.5700000000000003,-0.9377417127800683
-3.56,-0.937688811616489
-3.5500000000000003,-0.9376351894203863
-3.54,-0.937580835970193
-3.5300000000000002,-0.93752574088939
-3.52,-0.9374698936439093
-3.5100000000000002,-0.9374132835394878
-3.5,-0.9373558997189709
-3.49,-0.9372977311595645
-3.48,-0.937238766670034
-3.47,-0.937178994887851
-3.46,-0.937118404276283
-3.45,-0.9370569831214295
-3.44,-0.9369947195291988
-3.43,-0.9369316014222274
-3.42,-0.9368676165367393
-3.41,-0.9368027524193445
-3.4,-0.936736996423774
-3.39,-0.9366703357075524
-3.38,-0.9366027572286051
-3.37,-0.936534247741797
-3.36,-0.936464793795406
-3.35,-0.9363943817275242
-3.34,-0.9363229976623896
-3.33,-0.9362506275066442
-3.3200000000000003,-0.936177256945518
-3.31,-0.9361028714389372
-3.3000000000000003,-0.9360274562175539
-3.29,-0.9359509962786966
-3.2800000000000002,-0.9358734763822403
-3.27,-0.9357948810463916
-3.2600000000000002,-0.9357151945433908
-3.25,-0.9356344008951255
-3.24,-0.9355524838686565
-3.23,-0.9354694269716517
-3.22,-0.9353852134477277
-3.21,-0.9352998262716965
-3.2,-0.9352132481447142
-3.19,-0.9351254614893306
-3.18,-0.9350364484444371
-3.17,-0.9349461908601102
-3.16,-0.9348546702923495
-3.15,-0.9347618679977044
-3.14,-0.9346677649277925
-3.13,-0.9345723417237011
-3.12,-0.9344755787102741
-3.11,-0.9343774558902783
-3.1,-0.9342779529384475
-3.09,-0.9341770491954027
